FeatureID,comp_abundance,VIP
"1,4-D-xylobiose",Surface_abundant,1.037965434257936
1-Deoxypentitol NIST,Surface_abundant,1.099977470419109
1-Monopalmitin NIST,Deep_abundant,1.2169282720745123
2-hydroxypyridine,Deep_abundant,1.4524752049081828
2-methyl-3-hydroxybutyric acid,Deep_abundant,1.44580521927738
2-Trimethylsilyloxysebacic acid NIST,Deep_abundant,1.270815947775367
"3,5-Dihydroxybenzoic acid NIST",Surface_abundant,1.2474121617165255
3-3-hydroxyphenylpropionic acid,Surface_abundant,1.5109236019692698
3-4-hydroxyphenylpropionic acid,Surface_abundant,1.5016727890401338
3-hydroxypyridine,Deep_abundant,1.5519567226790565
4-guanidinobutyric acid,Surface_abundant,1.4242180149474422
4-hydroxycyclohexanecarboxylic acid cis,Surface_abundant,1.374320789409219
arachidic acid,Deep_abundant,1.552439663281526
Azelaic acid NIST,Surface_abundant,1.5172131223927754
behenic acid,Deep_abundant,1.4600356148743332
beta-Alanine NIST,Deep_abundant,1.3578890560346006
capric acid,Surface_abundant,1.0671192495633313
carbonate ion NIST,Deep_abundant,1.542750601433081
cycloleucine,Surface_abundant,1.1159222949107765
D-gluconic acid,Surface_abundant,1.0643234870757317
D-lyxose,Deep_abundant,1.0504289713400636
Dodecanedioic acid NIST,Surface_abundant,1.5297095686277107
D-ribose,Surface_abundant,1.5387032337622664
fumaric acid,Deep_abundant,1.4617941048867085
glycerol,Surface_abundant,1.0862152712991209
Glycerol monostearate NIST,Deep_abundant,1.240052096965182
glycolic acid,Deep_abundant,1.4747092618105637
Hexacosanoic acid NIST,Deep_abundant,1.180990636043576
Hexanoic acid NIST,Surface_abundant,1.1108346796095316
lactic acid,Deep_abundant,1.5871049292306387
lactose,Surface_abundant,1.0350535739443374
Lignoceric acid NIST,Deep_abundant,1.386037444430315
L-mimosine,Deep_abundant,1.2896355791102858
L-serine,Deep_abundant,1.18056601826186
Methylsuccinic acid NIST,Deep_abundant,1.1322264392916308
n-Butylamine NIST,Surface_abundant,1.5764316355283243
Octadecanenitrile NIST,Deep_abundant,1.1563324562075468
palmitic acid,Deep_abundant,1.434671850465257
phenylethylamine,Surface_abundant,1.500387567386017
phosphoric acid,Surface_abundant,1.194179313633341
pimelic acid,Surface_abundant,1.1296928872088274
porphine,Deep_abundant,1.5916772921852136
putrescine,Surface_abundant,1.5414706774604205
sebasic acid,Surface_abundant,1.5469118050434658
Serratene NIST,Deep_abundant,1.4270566532471405
stearic acid,Deep_abundant,1.5276681386877007
tagatose,Surface_abundant,1.4487956531527602
Tricarballylic acid NIST,Surface_abundant,1.394096499094918
Tricosanoic acid NIST,Deep_abundant,1.14002776243686
FT001,Deep_abundant,1.3113713529905626
FT004,Deep_abundant,1.5855459171702
FT006,Surface_abundant,1.194828833216158
FT010,Deep_abundant,1.0206425350403299
FT012,Deep_abundant,1.1730882253205004
FT019,Deep_abundant,1.2032653956259445
FT026,Deep_abundant,1.1350228348909308
FT034,Deep_abundant,1.2656755565880309
FT038,Deep_abundant,1.0654479636796998
FT040,Deep_abundant,1.1455484098753328
FT041,Deep_abundant,1.1516501177508438
FT042,Deep_abundant,1.0753283100289839
FT048,Deep_abundant,1.0970554555769192
FT049,Deep_abundant,1.2758986696349148
FT051,Deep_abundant,1.259264188612272
FT054,Deep_abundant,1.1844705757911858
FT059,Deep_abundant,1.3822508152922088
FT063,Deep_abundant,1.1533946748167823
FT066,Deep_abundant,1.248958061090422
FT069,Surface_abundant,1.4333998209747532
FT070,Deep_abundant,1.3517612151224776
FT075,Deep_abundant,1.2123758481418532
FT076,Deep_abundant,1.1424927693706812
FT078,Deep_abundant,1.1912987506251884
FT081,Surface_abundant,1.5365087781423523
FT082,Deep_abundant,1.1212304712763947
FT084,Deep_abundant,1.1517001265638562
FT089,Deep_abundant,1.3383994407720161
FT092,Deep_abundant,1.2819964569433928
FT094,Deep_abundant,1.3928279696345185
FT096,Surface_abundant,1.5124699154312584
FT097,Deep_abundant,1.4314740297284485
FT099,Deep_abundant,1.5412699445321543
FT104,Deep_abundant,1.3744436875235024
FT108,Surface_abundant,1.398601904173825
FT112,Deep_abundant,1.482205916755538
FT115,Surface_abundant,1.155825395503438
FT117,Deep_abundant,1.2343386334152697
FT118,Deep_abundant,1.0851849476251267
FT122,Surface_abundant,1.3913324572165175
FT125,Surface_abundant,1.4708453954804652
FT128,Surface_abundant,1.3533941252151365
FT133,Deep_abundant,1.2509519386127228
FT138,Deep_abundant,1.1605305244384443
FT141,Deep_abundant,1.3080251707507138
FT142,Surface_abundant,1.4976007781119673
FT147,Deep_abundant,1.268651383379949
FT151,Surface_abundant,1.0092629169163376
FT153,Deep_abundant,1.4407285393291815
FT156,Deep_abundant,1.5587246664981522
FT161,Deep_abundant,1.1425183384134014
FT165,Deep_abundant,1.083974525755796
FT168,Deep_abundant,1.27170644479127
FT171,Deep_abundant,1.3765411999070436
FT181,Deep_abundant,1.2126201363319773
FT182,Deep_abundant,1.3124407305274886
FT186,Deep_abundant,1.1305199947246147
FT189,Deep_abundant,1.2384104793126465
FT190,Deep_abundant,1.130131044924779
FT193,Deep_abundant,1.4226075219856094
FT197,Deep_abundant,1.2762275806284875
FT200,Deep_abundant,1.5674436026709104
FT201,Deep_abundant,1.230509362150469
FT202,Deep_abundant,1.0276781653516274
FT206,Deep_abundant,1.387886212685455
FT207,Deep_abundant,1.3164690528610092
FT213,Deep_abundant,1.4861470369543581
FT215,Deep_abundant,1.3511639850543757
FT217,Deep_abundant,1.2886859086895095
FT218,Deep_abundant,1.2914597732778108
FT222,Deep_abundant,1.5392097046915827
FT224,Deep_abundant,1.3436642377880768
FT225,Surface_abundant,1.3874467856822343
FT230,Deep_abundant,1.291175707497862
FT232,Deep_abundant,1.1627769514157442
FT233,Deep_abundant,1.1384164183496668
FT234,Deep_abundant,1.3466247563029419
FT239,Deep_abundant,1.3865209997048111
FT241,Deep_abundant,1.2688582414416434
FT244,Surface_abundant,1.1414758022752372
FT246,Deep_abundant,1.2737223221484895
FT248,Deep_abundant,1.274447947656738
FT252,Surface_abundant,1.0060828193836937
FT253,Surface_abundant,1.5499672993917428
FT254,Deep_abundant,1.2675624221829789
FT257,Deep_abundant,1.2588904615231746
FT262,Deep_abundant,1.1544323916701142
FT263,Surface_abundant,1.0607186556529802
FT264,Deep_abundant,1.1138519988127826
FT266,Deep_abundant,1.1814243556551893
FT270,Deep_abundant,1.1281067091303927
FT271,Deep_abundant,1.5303250419647931
FT273,Deep_abundant,1.1343891692236865
FT274,Deep_abundant,1.425742316981984
FT276,Deep_abundant,1.3228932506933464
FT283,Deep_abundant,1.3423984298911056
FT285,Deep_abundant,1.2583533848251838
FT289,Surface_abundant,1.2919856498140072
FT298,Surface_abundant,1.563608891807507
FT300,Deep_abundant,1.2796246387206518
FT301,Surface_abundant,1.1099190532350973
FT302,Deep_abundant,1.0158244263477185
FT304,Deep_abundant,1.1366846452711337
FT305,Deep_abundant,1.2997270376240955
FT308,Deep_abundant,1.5297485245729803
FT310,Deep_abundant,1.0949724819506952
FT312,Deep_abundant,1.2924676951197993
FT313,Deep_abundant,1.3733644916149652
FT314,Deep_abundant,1.3052011627803515
FT316,Deep_abundant,1.2332463135541363
FT318,Deep_abundant,1.152240735314295
FT320,Deep_abundant,1.3877958245453663
FT323,Deep_abundant,1.263792435832046
FT331,Surface_abundant,1.236589102870676
FT332,Deep_abundant,1.336381943347303
FT337,Deep_abundant,1.074101412542751
FT338,Deep_abundant,1.2929719260979087
FT339,Deep_abundant,1.0702792019535314
FT340,Deep_abundant,1.2781101805353379
FT343,Deep_abundant,1.2947418228022254
FT344,Deep_abundant,1.2184304317239871
FT347,Deep_abundant,1.2073199500659078
FT349,Deep_abundant,1.3338836548643502
FT350,Deep_abundant,1.1474063122007567
FT352,Deep_abundant,1.2161858020134027
FT353,Deep_abundant,1.0320542315557306
FT354,Surface_abundant,1.243441292060768
FT355,Deep_abundant,1.167997322248035
FT356,Surface_abundant,1.1066268027664765
FT359,Surface_abundant,1.1041921902673073
FT360,Surface_abundant,1.014907273758144
FT361,Deep_abundant,1.3029629423317666
FT365,Surface_abundant,1.064614223889743
FT367,Deep_abundant,1.315424761733473
FT369,Deep_abundant,1.0108692850740109
FT382,Deep_abundant,1.1075302318884708
FT383,Deep_abundant,1.3406758905473177
FT384,Surface_abundant,1.1734460400408047
FT389,Deep_abundant,1.0758779163240504
FT393,Deep_abundant,1.3188461391559612
FT399,Surface_abundant,1.258934420711611
FT408,Deep_abundant,1.2625826421830644
FT409,Deep_abundant,1.2492325147797883
FT411,Deep_abundant,1.3482424418462158
